"Index" "AAPL.Adjusted"
2008-10-29 13.674026
2008-10-30 14.522848
2008-10-31 14.071625
2008-11-03 13.989228
2008-11-04 14.516308
2008-11-05 13.510539
2008-11-06 12.961223
2008-11-07 12.848745
2008-11-10 12.540082
2008-11-11 12.394906
2008-11-12 11.786735
2008-11-13 12.613324
2008-11-14 11.80243
2008-11-17 11.527773
2008-11-18 11.75927
2008-11-19 11.285812
2008-11-20 10.527234
2008-11-21 10.800584
2008-11-24 12.156869
2008-11-25 11.875672
2008-11-26 12.424987
2008-11-28 12.120248
2008-12-01 11.631096
2008-12-02 12.09409
2008-12-03 12.542697
2008-12-04 11.955454
2008-12-05 12.294198
2008-12-08 13.042313
2008-12-09 13.086781
2008-12-10 12.844821
2008-12-11 12.424987
2008-12-12 12.852668
2008-12-15 12.39229
2008-12-16 12.481227
2008-12-17 11.661177
2008-12-18 11.69649
2008-12-19 11.77104
2008-12-22 11.213878
2008-12-23 11.297583
2008-12-24 11.122325
2008-12-26 11.223033
2008-12-29 11.327665
2008-12-30 11.285812
2008-12-31 11.16287
2009-01-02 11.869133
2009-01-05 12.370056
2009-01-06 12.166024
2009-01-07 11.903138
2009-01-08 12.124172
2009-01-09 11.846898
2009-01-12 11.595783
2009-01-13 11.471533
2009-01-14 11.160254
2009-01-15 10.905215
2009-01-16 10.767887
2009-01-20 10.227726
2009-01-21 10.833281
2009-01-22 11.556546
2009-01-23 11.556546
2009-01-26 11.723957
2009-01-27 11.866517
2009-01-28 12.320356
2009-01-29 12.163408
2009-01-30 11.788043
2009-02-02 11.968532
2009-02-03 12.160793
2009-02-04 12.235342
2009-02-05 12.615939
2009-02-06 13.042313
2009-02-09 13.407216
2009-02-10 12.795121
2009-02-11 12.663024
2009-02-12 12.983458
2009-02-13 12.969071
2009-02-17 12.363516
2009-02-18 12.34259
2009-02-19 11.854746
2009-02-20 11.927987
2009-02-23 11.372133
2009-02-24 11.803738
2009-02-25 11.922756
2009-02-26 11.665101
2009-02-27 11.680796
2009-03-02 11.501614
2009-03-03 11.557854
2009-03-04 11.924064
2009-03-05 11.619325
2009-03-06 11.156331
2009-03-09 10.869902
2009-03-10 11.591859
2009-03-11 12.121556
2009-03-12 12.601553
2009-03-13 12.546621
2009-03-16 12.479919
2009-03-17 13.034465
2009-03-18 13.277734
2009-03-19 13.290813
2009-03-20 13.286889
2009-03-23 14.08078
2009-03-24 13.929065
2009-03-25 13.927757
2009-03-26 14.369824
2009-03-27 13.974841
2009-03-30 13.666178
2009-03-31 13.748576
2009-04-01 14.215493
2009-04-02 14.741267
2009-04-03 15.170255
2009-04-06 15.491997
2009-04-07 15.040774
2009-04-08 15.213417
2009-04-09 15.638481
2009-04-13 15.723495
2009-04-14 15.473686
2009-04-15 15.386057
2009-04-16 15.884366
2009-04-17 16.14202
2009-04-20 15.760115
2009-04-21 15.92491
2009-04-22 15.892213
2009-04-23 16.400983
2009-04-24 16.2048
2009-04-27 16.313354
2009-04-28 16.2048
2009-04-29 16.366977
2009-04-30 16.457222
2009-05-01 16.641636
2009-05-04 17.273349
2009-05-05 17.357052
2009-05-06 17.329588
2009-05-07 16.879673
2009-05-08 16.896676
2009-05-11 16.946375
2009-05-12 16.27281
2009-05-13 15.628018
2009-05-14 16.080549
2009-05-15 16.011231
2009-05-18 16.56447
2009-05-19 16.669102
2009-05-20 16.462454
2009-05-21 16.24142
2009-05-22 16.021694
2009-05-26 17.10463
2009-05-27 17.401522
2009-05-28 17.665715
2009-05-29 17.7625
2009-06-01 18.225494
2009-06-02 18.243805
2009-06-03 18.434757
2009-06-04 18.79966
2009-06-05 18.921294
2009-06-08 18.814046
2009-06-09 18.666254
2009-06-10 18.343206
2009-06-11 18.303968
2009-06-12 17.914215
2009-06-15 17.799122
2009-06-16 17.833126
2009-06-17 17.732419
2009-06-18 17.771655
2009-06-19 18.242497
2009-06-22 17.966532
2009-06-23 17.527079
2009-06-24 17.816123
2009-06-25 18.292197
2009-06-26 18.629634
2009-06-29 18.568163
2009-06-30 18.628326
2009-07-01 18.680641
2009-07-02 18.313123
2009-07-06 18.12871
2009-07-07 17.708877
2009-07-08 17.946914
2009-07-09 17.834434
2009-07-10 18.11694
2009-07-13 18.616555
2009-07-14 18.607399
2009-07-15 19.210338
2009-07-16 19.294043
2009-07-17 19.847283
2009-07-20 19.998998
2009-07-21 19.815892
2009-07-22 20.499921
2009-07-23 20.641173
2009-07-24 20.924987
2009-07-27 20.939374
2009-07-28 20.926295
2009-07-29 20.930219
2009-07-30 21.291197
2009-07-31 21.36967
2009-08-03 21.76727
2009-08-04 21.652175
2009-08-05 21.594628
2009-08-06 21.437681
2009-08-07 21.646943
2009-08-10 21.543621
2009-08-11 21.296428
2009-08-12 21.620786
2009-08-13 22.02754
2009-08-14 21.813046
2009-08-17 20.87267
2009-08-18 21.449452
2009-08-19 21.527926
2009-08-20 21.754191
2009-08-21 22.132172
2009-08-24 22.111245
2009-08-25 22.155715
2009-08-26 21.895443
2009-08-27 22.162254
2009-08-28 22.240726
2009-08-31 22.000075
2009-09-01 21.619478
2009-09-02 21.603783
2009-09-03 21.782964
2009-09-04 22.274732
2009-09-08 22.617401
2009-09-09 22.383288
2009-09-10 22.569008
2009-09-11 22.516693
2009-09-14 22.720724
2009-09-15 22.909061
2009-09-16 23.786657
2009-09-17 24.137173
2009-09-18 24.198644
2009-09-21 24.067855
2009-09-22 24.128018
2009-09-23 24.261422
2009-09-24 24.041697
2009-09-25 23.852051
2009-09-28 24.346436
2009-09-29 24.245727
2009-09-30 24.241804
2009-10-01 23.65456
2009-10-02 24.182949
2009-10-05 24.329433
2009-10-06 24.851282
2009-10-07 24.882672
2009-10-08 24.754499
2009-10-09 24.911445
2009-10-12 24.955914
2009-10-13 24.85259
2009-10-14 25.018693
2009-10-15 24.923216
2009-10-16 24.594936
2009-10-19 24.831665
2009-10-20 25.995689
2009-10-21 26.801352
2009-10-22 26.837972
2009-10-23 26.673177
2009-10-26 26.482226
2009-10-27 25.813893
2009-10-28 25.163869
2009-10-29 25.680486
2009-10-30 24.653791
2009-11-02 24.759729
2009-11-03 24.686487
2009-11-04 24.955914
2009-11-05 25.377055
2009-11-06 25.417601
2009-11-09 26.348821
2009-11-10 26.54762
2009-11-11 26.582934
2009-11-12 26.418139
2009-11-13 26.739881
2009-11-16 27.025002
2009-11-17 27.073393
2009-11-18 26.937373
2009-11-19 26.22457
2009-11-20 26.147404
2009-11-23 26.926909
2009-11-24 26.738573
2009-11-25 26.705875
2009-11-27 26.235033
2009-11-30 26.146096
2009-12-01 25.761576
2009-12-02 25.664793
2009-12-03 25.697489
2009-12-04 25.284196
2009-12-07 24.712646
2009-12-08 24.832973
2009-12-09 25.870132
2009-12-10 25.69095
2009-12-11 25.46076
2009-12-14 25.762884
2009-12-15 25.395366
2009-12-16 25.507845
2009-12-17 25.093243
2009-12-18 25.560161
2009-12-21 25.92637
2009-12-22 26.204953
2009-12-23 26.432526
2009-12-24 27.340204
2009-12-28 27.676332
2009-12-29 27.348052
2009-12-30 27.680255
2009-12-31 27.561238
2010-01-04 27.990226
2010-01-05 28.038618
2010-01-06 27.592626
2010-01-07 27.541619
2010-01-08 27.724725
2010-01-11 27.480148
2010-01-12 27.167562
2010-01-13 27.550775
2010-01-14 27.391211
2010-01-15 26.933449
2010-01-19 28.124939
2010-01-20 27.692027
2010-01-21 27.213337
2010-01-22 25.863592
2010-01-25 26.559391
2010-01-26 26.934757
2010-01-27 27.188489
2010-01-28 26.065007
2010-01-29 25.119401
2010-02-01 25.468608
2010-02-02 25.6164
2010-02-03 26.057159
2010-02-04 25.118093
2010-02-05 25.564084
2010-02-08 25.388826
2010-02-09 25.659561
2010-02-10 25.519617
2010-02-11 25.983917
2010-02-12 26.207567
2010-02-16 26.602551
2010-02-17 26.491381
2010-02-18 26.54108
2010-02-19 26.376286
2010-02-22 26.212799
2010-02-23 25.773347
2010-02-24 26.244189
2010-02-25 26.419447
2010-02-26 26.762114
2010-03-01 27.333665
2010-03-02 27.315354
2010-03-03 27.378132
2010-03-04 27.558622
2010-03-05 28.636326
2010-03-08 28.653328
2010-03-09 29.168639
2010-03-10 29.406674
2010-03-11 29.492997
2010-03-12 29.636865
2010-03-15 29.275885
2010-03-16 29.355667
2010-03-17 29.312507
2010-03-18 29.381825
2010-03-19 29.067931
2010-03-22 29.394905
2010-03-23 29.867053
2010-03-24 29.999151
2010-03-25 29.643403
2010-03-26 30.199258
2010-03-29 30.394134
2010-03-30 30.846665
2010-03-31 30.735496
2010-04-01 30.86236
2010-04-05 31.191949
2010-04-06 31.32928
2010-04-07 31.467916
2010-04-08 31.382903
2010-04-09 31.623554
2010-04-12 31.68895
2010-04-13 31.707261
2010-04-14 32.133633
2010-04-15 32.556084
2010-04-16 32.357283
2010-04-19 32.314123
2010-04-20 31.989765
2010-04-21 33.903213
2010-04-22 34.851435
2010-04-23 35.421676
2010-04-26 35.247727
2010-04-27 34.272037
2010-04-28 34.214492
2010-04-29 35.135249
2010-04-30 34.14779
2010-05-03 34.83574
2010-05-04 33.832585
2010-05-05 33.480763
2010-05-06 32.206873
2010-05-07 30.847974
2010-05-10 33.219185
2010-05-11 33.550081
2010-05-12 34.278579
2010-05-13 33.790735
2010-05-14 33.196949
2010-05-17 33.249266
2010-05-18 33.005999
2010-05-19 32.480224
2010-05-20 31.096473
2010-05-21 31.692872
2010-05-24 32.273576
2010-05-25 32.072163
2010-05-26 31.926985
2010-05-27 33.135478
2010-05-28 33.597166
2010-06-01 34.113784
2010-06-02 34.521845
2010-06-03 34.413289
2010-06-04 33.476841
2010-06-07 32.820277
2010-06-08 32.609707
2010-06-09 31.807969
2010-06-10 32.764038
2010-06-11 33.156405
2010-06-14 33.257113
2010-06-15 33.964684
2010-06-16 34.953449
2010-06-17 35.557696
2010-06-18 35.845436
2010-06-21 35.335356
2010-06-22 35.816661
2010-06-23 35.439986
2010-06-24 35.182331
2010-06-25 34.881515
2010-06-28 35.09078
2010-06-29 33.504305
2010-06-30 32.897443
2010-07-01 32.498535
2010-07-02 32.297118
2010-07-06 32.518152
2010-07-07 33.831279
2010-07-08 33.75542
2010-07-09 33.955527
2010-07-12 33.650789
2010-07-13 32.932755
2010-07-14 33.05439
2010-07-15 32.88698
2010-07-16 32.684257
2010-07-19 32.119248
2010-07-20 32.944528
2010-07-21 33.251881
2010-07-22 33.877055
2010-07-23 33.99738
2010-07-26 33.911061
2010-07-27 34.53885
2010-07-28 34.130785
2010-07-29 33.758036
2010-07-30 33.645558
2010-08-02 34.247188
2010-08-03 34.257652
2010-08-04 34.394982
2010-08-05 34.227571
2010-08-06 34.017001
2010-08-09 34.234109
2010-08-10 33.928062
2010-08-11 32.722185
2010-08-12 32.931449
2010-08-13 32.579623
2010-08-16 32.388673
2010-08-17 32.954992
2010-08-18 33.09886
2010-08-19 32.681641
2010-08-20 32.650251
2010-08-23 32.148019
2010-08-24 31.380287
2010-08-25 31.767422
2010-08-26 31.426062
2010-08-27 31.601321
2010-08-30 31.716414
2010-08-31 31.79489
2010-09-01 32.740496
2010-09-02 32.981147
2010-09-03 33.844358
2010-09-07 33.718801
2010-09-08 34.387134
2010-09-09 34.406752
2010-09-10 34.451221
2010-09-13 34.925985
2010-09-14 35.05939
2010-09-15 35.341894
2010-09-16 36.172406
2010-09-17 36.015459
2010-09-20 37.043466
2010-09-21 37.11409
2010-09-22 37.634633
2010-09-23 37.787655
2010-09-24 38.232338
2010-09-27 38.080623
2010-09-28 37.51823
2010-09-29 37.584932
2010-09-30 37.111474
2010-10-01 36.950605
2010-10-04 36.443141
2010-10-05 37.790271
2010-10-06 37.82297
2010-10-07 37.826892
2010-10-08 38.46122
2010-10-11 38.62994
2010-10-12 39.045849
2010-10-13 39.255113
2010-10-14 39.538924
2010-10-15 41.164636
2010-10-18 41.591008
2010-10-19 40.477992
2010-10-20 40.614012
2010-10-21 40.481917
2010-10-22 40.213798
2010-10-25 40.392979
2010-10-26 40.289654
2010-10-27 40.260884
2010-10-28 39.922137
2010-10-29 39.364975
2010-11-01 39.7835
2010-11-02 40.460991
2010-11-03 40.910906
2010-11-04 41.626324
2010-11-05 41.477224
2010-11-08 41.6721
2010-11-09 41.339894
2010-11-10 41.594934
2010-11-11 41.414444
2010-11-12 40.287039
2010-11-15 40.157559
2010-11-16 39.444757
2010-11-17 39.302195
2010-11-18 40.339356
2010-11-19 40.117016
2010-11-22 40.984146
