"Index" "GOOG.Adjusted"
2008-12-19 154.930336
2008-12-22 148.406849
2008-12-23 148.861387
2008-12-24 151.323929
2008-12-26 150.030223
2008-12-29 148.561692
2008-12-30 151.40386
2008-12-31 153.671593
2009-01-02 160.499779
2009-01-05 163.861421
2009-01-06 166.86342
2009-01-07 160.844427
2009-01-08 162.43284
2009-01-09 157.377899
2009-01-12 156.18908
2009-01-13 157.003261
2009-01-14 150.334921
2009-01-15 149.345914
2009-01-16 149.685575
2009-01-20 141.234014
2009-01-21 151.388865
2009-01-22 153.097158
2009-01-23 162.188089
2009-01-26 161.773501
2009-01-27 165.574702
2009-01-28 174.161139
2009-01-29 171.488809
2009-01-30 169.096191
2009-02-02 170.115172
2009-02-03 170.055239
2009-02-04 171.328962
2009-02-05 176.683613
2009-02-06 185.454867
2009-02-09 189.196135
2009-02-10 179.076231
2009-02-11 178.841472
2009-02-12 181.343964
2009-02-13 178.661643
2009-02-17 171.15914
2009-02-18 176.37893
2009-02-19 171.149148
2009-02-20 173.05225
2009-02-23 164.865423
2009-02-24 172.552743
2009-02-25 170.649641
2009-02-26 168.421873
2009-02-27 168.82647
2009-03-02 163.416859
2009-03-03 162.577707
2009-03-04 159.300968
2009-03-05 152.667591
2009-03-06 154.131134
2009-03-09 145.299948
2009-03-10 153.931338
2009-03-11 158.796473
2009-03-12 161.603679
2009-03-13 162.048226
2009-03-16 159.685582
2009-03-17 167.50279
2009-03-18 166.383896
2009-03-19 164.805475
2009-03-20 164.915364
2009-03-23 174.126176
2009-03-24 173.411878
2009-03-25 171.863431
2009-03-26 176.468837
2009-03-27 173.676626
2009-03-30 171.174119
2009-03-31 173.85644
2009-04-01 176.868431
2009-04-02 181.06924
2009-04-03 184.705606
2009-04-06 183.936379
2009-04-07 179.146155
2009-04-08 180.819487
2009-04-09 186.064248
2009-04-13 188.86645
2009-04-14 184.271051
2009-04-15 189.560766
2009-04-16 194.176163
2009-04-17 195.924407
2009-04-20 189.460868
2009-04-21 190.544785
2009-04-22 191.738592
2009-04-23 192.15318
2009-04-24 194.550786
2009-04-27 192.782544
2009-04-28 191.663665
2009-04-29 195.539793
2009-04-30 197.787559
2009-05-01 196.648681
2009-05-04 200.789558
2009-05-05 201.294053
2009-05-06 201.533815
2009-05-07 198.107237
2009-05-08 203.461888
2009-05-11 203.786569
2009-05-12 199.306032
2009-05-13 194.575757
2009-05-14 193.556775
2009-05-15 194.805527
2009-05-18 198.222114
2009-05-19 199.241096
2009-05-20 198.391952
2009-05-21 198.052292
2009-05-22 196.553786
2009-05-26 201.978362
2009-05-27 202.577767
2009-05-28 204.995355
2009-05-29 208.406954
2009-06-01 213.067305
2009-06-02 213.986388
2009-06-03 215.609763
2009-06-04 219.920462
2009-06-05 221.938442
