"Index" "F.Adjusted"
2008-08-28 3.490938
2008-08-29 3.514578
2008-09-02 3.553979
2008-09-03 3.601261
2008-09-04 3.459417
2008-09-05 3.475177
2008-09-08 3.585501
2008-09-09 3.467297
2008-09-10 3.522458
2008-09-11 3.687943
2008-09-12 3.869189
2008-09-15 3.735225
2008-09-16 3.995272
2008-09-17 3.892829
2008-09-18 4.160758
2008-09-19 4.168637
2008-09-22 3.900709
2008-09-23 3.829787
2008-09-24 3.963751
2008-09-25 3.92435
2008-09-26 3.790386
2008-09-29 3.286053
2008-09-30 4.097713
2008-10-01 3.585501
2008-10-02 3.427896
2008-10-03 3.191489
2008-10-06 2.907802
2008-10-07 2.301025
2008-10-08 2.096139
2008-10-09 1.639086
2008-10-10 1.568164
2008-10-13 1.883373
2008-10-14 1.930654
2008-10-15 1.812451
2008-10-16 1.78881
2008-10-17 1.914894
2008-10-20 1.836091
2008-10-21 1.710008
2008-10-22 1.654847
2008-10-23 1.576044
2008-10-24 1.583924
2008-10-27 1.599685
2008-10-28 1.694248
2008-10-29 1.702128
2008-10-30 1.79669
2008-10-31 1.725768
2008-11-03 1.678487
2008-11-04 1.702128
2008-11-05 1.646966
2008-11-06 1.560284
2008-11-07 1.591805
2008-11-10 1.520883
2008-11-11 1.41844
2008-11-12 1.449961
2008-11-13 1.497242
2008-11-14 1.41844
2008-11-17 1.355398
2008-11-18 1.323877
2008-11-19 0.992908
2008-11-20 1.095351
2008-11-21 1.126871
2008-11-24 1.229314
2008-11-25 1.308117
2008-11-26 1.694248
2008-11-28 2.11978
2008-12-01 2.009456
2008-12-02 2.12766
2008-12-03 2.245863
2008-12-04 2.096139
2008-12-05 2.14342
2008-12-08 2.663515
2008-12-09 2.545311
2008-12-10 2.561072
2008-12-11 2.285264
2008-12-12 2.395587
2008-12-15 2.50591
2008-12-16 2.466509
2008-12-17 2.474389
2008-12-18 2.237983
2008-12-19 2.324665
2008-12-22 2.040977
2008-12-23 1.725768
2008-12-24 1.662726
2008-12-26 1.80457
2008-12-29 1.749409
2008-12-30 1.80457
2008-12-31 1.80457
2009-01-02 1.938534
2009-01-05 2.033097
2009-01-06 2.174941
2009-01-07 2.11978
2009-01-08 2.11978
2009-01-09 2.072498
2009-01-12 2.080379
2009-01-13 1.954295
2009-01-14 1.78093
2009-01-15 1.757289
2009-01-16 1.725768
2009-01-20 1.678487
2009-01-21 1.646966
2009-01-22 1.528763
2009-01-23 1.41844
2009-01-26 1.528763
2009-01-27 1.552404
2009-01-28 1.599685
2009-01-29 1.536644
2009-01-30 1.473601
2009-02-02 1.481481
2009-02-03 1.544523
2009-02-04 1.536644
2009-02-05 1.520883
2009-02-06 1.528763
2009-02-09 1.497242
2009-02-10 1.4342
2009-02-11 1.457841
2009-02-12 1.410559
2009-02-13 1.386919
2009-02-17 1.331758
2009-02-18 1.315997
2009-02-19 1.284476
2009-02-20 1.245075
2009-02-23 1.363278
2009-02-24 1.576044
2009-02-25 1.583924
2009-02-26 1.560284
2009-02-27 1.576044
2009-03-02 1.481481
2009-03-03 1.42632
2009-03-04 1.473601
2009-03-05 1.42632
2009-03-06 1.339638
2009-03-09 1.371158
2009-03-10 1.457841
2009-03-11 1.544523
2009-03-12 1.654847
2009-03-13 1.725768
2009-03-16 1.654847
2009-03-17 1.79669
2009-03-18 1.946415
2009-03-19 1.977935
2009-03-20 2.167061
2009-03-23 2.285264
2009-03-24 2.253743
2009-03-25 2.182821
2009-03-26 2.316786
2009-03-27 2.237983
2009-03-30 2.174941
2009-03-31 2.072498
2009-04-01 2.159181
2009-04-02 2.293144
2009-04-03 2.561072
2009-04-06 2.970844
2009-04-07 2.750197
2009-04-08 3.112687
2009-04-09 3.341214
2009-04-13 3.356974
2009-04-14 3.388496
2009-04-15 3.183609
2009-04-16 3.278172
2009-04-17 3.152089
2009-04-20 2.907802
2009-04-21 2.994484
2009-04-22 3.372734
2009-04-23 3.538219
2009-04-24 3.94011
2009-04-27 4.026793
2009-04-28 4.089836
2009-04-29 4.29472
2009-04-30 4.712372
2009-05-01 4.483845
2009-05-04 4.633571
2009-05-05 4.609929
2009-05-06 4.933018
2009-05-07 4.775415
2009-05-08 4.917258
2009-05-11 4.791174
2009-05-12 3.947992
2009-05-13 3.908589
2009-05-14 4.066193
2009-05-15 4.32624
2009-05-18 4.334121
2009-05-19 4.436563
2009-05-20 4.263199
2009-05-21 4.200157
2009-05-22 4.144995
2009-05-26 4.25532
2009-05-27 4.208038
2009-05-28 4.381403
2009-05-29 4.531127
2009-06-01 4.830575
2009-06-02 5.051221
2009-06-03 4.869977
2009-06-04 5.011821
2009-06-05 5.011821
2009-06-08 5.02758
2009-06-09 4.933018
2009-06-10 4.877858
2009-06-11 4.712372
2009-06-12 4.814816
2009-06-15 4.672971
2009-06-16 4.468084
2009-06-17 4.499607
2009-06-18 4.475965
2009-06-19 4.507485
2009-06-22 4.23956
2009-06-23 4.357763
2009-06-24 4.436563
2009-06-25 4.475965
2009-06-26 4.420805
2009-06-29 4.554767
2009-06-30 4.783295
2009-07-01 4.65721
2009-07-02 4.64145
2009-07-06 4.531127
2009-07-07 4.357763
2009-07-08 4.215918
2009-07-09 4.436563
2009-07-10 4.507485
2009-07-13 4.483845
2009-07-14 4.602049
2009-07-15 4.767535
2009-07-16 4.830575
2009-07-17 4.838456
2009-07-20 4.877858
2009-07-21 4.885736
2009-07-22 5.02758
2009-07-23 5.500394
2009-07-24 5.342791
2009-07-27 5.728921
2009-07-28 5.626478
2009-07-29 5.610717
2009-07-30 5.823482
2009-07-31 6.304177
2009-08-03 6.564225
2009-08-04 6.540584
2009-08-05 6.650904
2009-08-06 6.359339
2009-08-07 6.312057
2009-08-10 6.083531
2009-08-11 6.154452
2009-08-12 6.067771
2009-08-13 6.225375
2009-08-14 6.170213
2009-08-17 5.807723
2009-08-18 6.020488
2009-08-19 6.028368
2009-08-20 6.052009
2009-08-21 6.099292
2009-08-24 5.839244
2009-08-25 5.981087
2009-08-26 5.996848
2009-08-27 6.044127
2009-08-28 6.091411
2009-08-31 5.988968
2009-09-01 5.705279
2009-09-02 5.539795
2009-09-03 5.894405
2009-09-04 5.855004
2009-09-08 5.752562
2009-09-09 5.823482
2009-09-10 5.862884
2009-09-11 5.776202
2009-09-14 5.823482
2009-09-15 5.673759
2009-09-16 5.634359
2009-09-17 5.453113
2009-09-18 5.468873
2009-09-21 5.382192
2009-09-22 5.524036
2009-09-23 5.799843
2009-09-24 5.776202
2009-09-25 5.744681
2009-09-28 5.902286
2009-09-29 5.870764
2009-09-30 5.681639
2009-10-01 5.492514
2009-10-02 5.390071
2009-10-05 5.555556
2009-10-06 5.626478
2009-10-07 5.618598
2009-10-08 5.657999
2009-10-09 5.610717
2009-10-12 6.004728
2009-10-13 6.004728
2009-10-14 6.036248
2009-10-15 6.036248
2009-10-16 5.847124
2009-10-19 5.965326
2009-10-20 6.07565
2009-10-21 6.130812
2009-10-22 6.115052
2009-10-23 6.012607
2009-10-26 5.886526
2009-10-27 5.776202
2009-10-28 5.484634
2009-10-29 5.752562
2009-10-30 5.516156
2009-11-02 5.973207
2009-11-03 5.862884
2009-11-04 5.728921
2009-11-05 5.870764
2009-11-06 6.107171
2009-11-09 6.446021
2009-11-10 6.493303
2009-11-11 6.564225
2009-11-12 6.461781
2009-11-13 6.627264
2009-11-16 6.863673
2009-11-17 7.076438
2009-11-18 7.044916
2009-11-19 6.879433
2009-11-20 6.80851
2009-11-23 6.879433
2009-11-24 6.942474
2009-11-25 6.942474
2009-11-27 6.879433
2009-11-30 7.005517
2009-12-01 6.997638
2009-12-02 7.100079
2009-12-03 7.044916
2009-12-04 7.044916
2009-12-07 7.021275
2009-12-08 6.950355
2009-12-09 6.981877
2009-12-10 7.131599
2009-12-11 7.092198
2009-12-14 7.15524
2009-12-15 7.399529
2009-12-16 7.478328
2009-12-17 7.399529
2009-12-18 7.628053
2009-12-21 7.620173
2009-12-22 7.801419
2009-12-23 7.943264
2009-12-24 7.982665
2009-12-28 8.037825
2009-12-29 7.966903
2009-12-30 7.872341
2009-12-31 7.88022
2010-01-04 8.100866
2010-01-05 8.636724
2010-01-06 8.959811
2010-01-07 9.188335
2010-01-08 9.21198
2010-01-11 9.542947
2010-01-12 9.353823
