Date APPLE AMAZON FORD GOOGLE MICROSOFT VOLKSWAGEN
2007-06-14 14.760639 71.940002 5.970227 250.48114 22.968246 NA
2007-06-15 14.978167 72.400002 6.149471 252.000443 22.945665 NA
2007-06-18 15.548704 71.830002 6.101213 256.638062 22.960718 NA
2007-06-19 15.370952 69.809998 5.963331 256.194733 22.923092 NA
2007-06-20 15.108682 69.099998 6.108107 254.032822 22.58444 NA
2007-06-21 15.400788 69.669998 6.142579 256.095093 22.742472 NA
2007-06-22 15.288919 68.860001 6.294246 261.509796 22.193108 NA
2007-06-25 15.206882 68.660004 6.225305 262.72525 22.193108 NA
2007-06-26 14.872514 67.480003 6.177047 264.139954 22.215683 NA
2007-06-27 15.150943 68.139999 6.397656 262.162354 22.479076 NA
2007-06-28 14.985624 68.889999 6.542431 261.52475 22.448975 NA
2007-06-29 15.169593 68.410004 6.494174 260.374054 22.178057 NA
2007-07-02 15.072632 69.610001 6.645842 264.199707 22.381245 NA
2007-07-03 15.807246 69.449997 6.494174 266.172333 22.591959 NA
2007-07-05 16.500845 68.730003 6.308034 269.803711 22.569391 NA
2007-07-06 16.444906 68.970001 6.280457 268.692871 22.554335 NA
2007-07-09 16.200037 72.07 6.259777 270.266968 22.479076 NA
2007-07-10 16.451122 70.279999 6.266672 270.655518 22.072699 NA
2007-07-11 16.456093 70.730003 6.135683 271.218414 22.193108 NA
2007-07-12 16.664913 72.790001 6.177047 271.64679 22.629589 NA
2007-07-13 17.119856 75.099998 6.183941 275.049042 22.441452 NA
2007-07-16 17.165846 73.690002 6.108107 275.462494 22.599493 NA
2007-07-17 17.266529 73.790001 6.018484 276.463745 23.163912 NA
2007-07-18 17.168333 73.32 5.949545 273.72403 23.269276 NA
2007-07-19 17.40202 73.349998 5.949545 273.270721 23.713284 NA
2007-07-20 17.868141 71.629997 5.790982 259.088867 23.449883 NA
2007-07-23 17.861933 71.739998 5.832346 255.29808 23.472467 NA
2007-07-24 16.766842 69.25 5.694465 256.040283 23.178961 NA
2007-07-25 17.061436 86.18 5.494538 253.928207 23.111235 NA
2007-07-26 18.147821 84.010002 5.577268 253.051498 22.561863 NA
2007-07-27 17.880575 84.040001 5.673783 254.989243 22.117849 NA
2007-07-30 17.579767 82.699997 6.025379 257.09137 22.125374 NA
2007-07-31 16.37779 78.540001 5.866817 254.04776 21.816822 NA
2007-08-01 16.780514 77.309998 5.811665 255.512283 22.050117 NA
2007-08-02 16.965725 79.709999 5.790982 254.550888 22.215683 NA
2007-08-03 16.388975 76.800003 5.556584 250.560837 21.79425 NA
2007-08-06 16.81159 79 5.646208 254.04776 22.23074 NA
2007-08-07 16.784248 79.139999 5.722042 257.046539 22.238256 NA
2007-08-08 16.657459 77.779999 6.115002 261.908295 22.576906 NA
2007-08-09 15.710296 74.110001 5.777194 256.403931 22.050117 NA
2007-08-10 15.537517 74.779999 5.673783 256.912018 21.606104 NA
2007-08-13 15.884315 74.870003 5.770301 256.787506 21.5459 NA
2007-08-14 15.416947 73.449997 5.56348 253.350388 21.349548 NA
2007-08-15 14.903587 72.379997 5.515221 247.846008 21.221165 NA
2007-08-16 14.549329 72.790001 5.3084 244.84227 21.002153 NA
2007-08-17 15.172074 75.019997 5.398022 249.086365 21.334444 NA
2007-08-20 15.191957 74.699997 5.515221 248.030319 21.341993 NA
2007-08-21 15.856968 77.489998 5.460069 252.3591 21.198507 NA
2007-08-22 16.471014 78.5 5.41181 255.417633 21.311789 NA
2007-08-23 16.292017 77.300003 5.342872 255.138672 21.372202 NA
2007-08-24 16.817804 79.25 5.446281 256.538422 21.75736 NA
2007-08-27 16.438692 78.650002 5.37734 255.671677 21.515694 NA
2007-08-28 15.763741 76.220001 5.177414 252.254486 21.092773 NA
2007-08-29 16.666166 79.050003 5.322188 255.482391 21.591213 NA
2007-08-30 16.935894 78.68 5.287718 254.745148 21.485485 NA
2007-08-31 17.213085 79.910004 5.384235 256.662964 21.696939 NA
2007-09-04 17.919109 82.699997 5.508327 261.594482 21.75736 NA
2007-09-05 16.999289 83.75 5.356659 262.91452 21.508141 NA
2007-09-06 16.781769 86.209999 5.363553 260.782532 21.832872 NA
2007-09-07 16.379028 84.519997 5.184307 258.705322 21.477934 NA
